"","P","M","Replicate","m_meanleng","m_sdleng","p_meanleng","p_sdleng","Exposure date","Mortality date","Spore count date","Pasteuria spore count 1","Pasteuria spore count 2","Pasteuria spore count 3","Avg Pasteuria spore load at death (spores/mL)","Metschnikowia spore count 1","Metschnikowia spore count 2","Metschnikowia spore count 3","Avg Metsch spore load at death (spores/mL)","Comments","lifespan.day"
"43",1000,5,"A",60.6647109539972,2.27671295409817,0,0,2018-01-23 05:00:00,2018-02-09 05:00:00,2018-05-04 00:00:00,0,"0","0",0,126,"109","108",1143333.33333333,"0",23
"44",1000,5,"B",0,0,5.01731206479087,0.311807973564148,2018-01-23 05:00:00,2018-02-09 05:00:00,2018-11-26 05:00:00,13,"17","11",136666.666666667,107,"106","100",1043333.33333333,"0",23
"45",1000,5,"C",0,0,5.4132366912738,0.233447387652855,2018-01-23 05:00:00,2018-02-16 05:00:00,2018-12-13 05:00:00,64,"60","47",570000,0,"0","0",0,"0",30
"46",1000,5,"D",0,0,5.44636308991098,0.176133795462715,2018-01-23 05:00:00,2018-03-07 05:00:00,2018-11-30 05:00:00,2,"2","0",13333.3333333333,0,"0","0",0,"0",48.4375
"47",1000,50,"A",60.6901144955295,0,0,0,2018-01-23 05:00:00,2018-02-06 05:00:00,2018-04-11 00:00:00,0,"0","0",0,0,"1","0",3333.33333333333,"0",20
"48",1000,50,"F",0,0,5.4655484455007,0.351228541925295,2018-01-23 05:00:00,2018-03-21 00:00:00,2018-12-21 05:00:00,90,"96","102",960000,0,"0","0",0,"0",62.4375
"49",1000,500,"A",58.6537581172821,2.24586412150684,0,0,2018-01-23 05:00:00,2018-02-05 05:00:00,2018-04-04 00:00:00,0,"0","0",0,67,"72","98",790000,"0",19
"50",1000,500,"B",58.636225791719,3.1483570787961,0,0,2018-01-23 05:00:00,2018-02-08 05:00:00,2018-04-26 00:00:00,0,"0","0",0,68,"69","NA",685000,"0",22
"51",1000,500,"C",56.5449407858361,5.91043246444427,0,0,2018-01-23 05:00:00,2018-02-08 05:00:00,2018-04-27 00:00:00,0,"0","0",0,46,"49","61",520000,"0",22
"52",1000,500,"D",58.3635206886508,3.39872156376469,0,0,2018-01-23 05:00:00,2018-02-09 05:00:00,2018-11-29 05:00:00,0,"0","0",0,69,"72","56",656666.666666667,"0",23
"53",1000,500,"F",58.1027692495949,2.70404577206088,0,0,2018-01-23 05:00:00,2018-02-12 05:00:00,2018-11-16 05:00:00,0,"0","0",0,2,"1","9",40000,"0",26
"54",20,0,"A",0,0,5.4397846006844,0.265049988645741,2018-01-23 05:00:00,2018-03-12 00:00:00,2018-12-18 05:00:00,48,"41","70",530000,0,"0","0",0,"0",53.4375
"55",20,1000,"A",55.4787845760885,2.19039372586657,0,0,2018-01-23 05:00:00,2018-02-03 05:00:00,2018-03-28 00:00:00,0,"0","0",0,34,"51","52",456666.666666667,"used dirty pestle",17
"56",20,1000,"B",56.3070064973302,1.88178055599736,0,0,2018-01-23 05:00:00,2018-02-09 05:00:00,2018-11-26 05:00:00,0,"0","0",0,116,"114","97",1090000,"0",23
"57",20,1000,"C",57.3367804756642,1.46611618015281,0,0,2018-01-23 05:00:00,2018-02-09 05:00:00,2018-11-29 05:00:00,0,"0","0",0,96,"75","87",860000,"0",23
"58",20,1000,"D",58.887025405931,3.09401187490685,0,0,2018-01-23 05:00:00,2018-02-10 05:00:00,2018-11-29 05:00:00,0,"0","0",0,78,"73","97",826666.666666667,"0",24
"59",20,1000,"F",59.1053814597661,2.51272953155032,0,0,2018-01-23 05:00:00,2018-02-17 05:00:00,2018-11-13 05:00:00,0,"0","0",0,40,"1","0",136666.666666667,"0",31
"60",20,2000,"A",56.6462081863312,4.32175298846836,0,0,2018-01-23 05:00:00,2018-02-02 05:00:00,2018-03-22 00:00:00,0,"0","0",0,44,"48","45",456666.666666667,"0",16
"61",20,2000,"B",57.6363010392391,3.92661929938845,0,0,2018-01-23 05:00:00,2018-02-06 05:00:00,2018-04-12 00:00:00,0,"0","0",0,112,"94","97",1010000,"0",20
"62",20,2000,"C",55.9277932771305,4.54869286528806,0,0,2018-01-23 05:00:00,2018-02-08 05:00:00,2018-04-26 00:00:00,0,"0","0",0,102,"81","88",903333.333333333,"0",22
"63",20,2000,"D",57.7250803025292,2.77289652045879,0,0,2018-01-23 05:00:00,2018-02-10 05:00:00,2018-11-26 05:00:00,0,"0","0",0,81,"84","NA",825000,"0",24
"64",20,2000,"E",57.8767767389498,2.94019107860212,0,0,2018-01-23 05:00:00,2018-02-10 05:00:00,2018-11-26 05:00:00,0,"0","0",0,94,"95","78",890000,"0",24
"65",20,2000,"F",59.3383769735282,2.64139390073334,0,0,2018-01-23 05:00:00,2018-02-10 05:00:00,2019-12-17 05:00:00,0,"0","0",0,102,"92","100",980000,"0",24
"66",20,250,"A",56.5612796324414,1.86646742835791,0,0,2018-01-23 05:00:00,2018-02-05 05:00:00,2018-04-04 00:00:00,0,"0","0",0,70,"85","92",823333.333333333,"0",19
"67",20,250,"B",56.1105403217254,2.23308844997645,0,0,2018-01-23 05:00:00,2018-02-05 05:00:00,2018-03-29 00:00:00,0,"0","0",0,162,"129","166",1523333.33333333,"0",19
"68",20,250,"G",5.51718142346245,0.312097576393295,0,0,2018-01-23 05:00:00,2018-02-25 05:00:00,2018-12-21 05:00:00,41,"49","48",460000,0,"0","0",0,"0",38.4375
"69",20,5,"B",57.3062838117803,2.57195831166134,0,0,2018-01-23 05:00:00,2018-02-05 05:00:00,2018-04-04 00:00:00,0,"0","0",0,73,"66","70",696666.666666667,"0",19
"70",20,50,"A",59.7677284216965,2.1109174582469,0,0,2018-01-23 05:00:00,2018-02-08 05:00:00,2018-04-26 00:00:00,0,"0","0",0,87,"87","96",9e+05,"0",22
"71",20,50,"B",0,0,5.4644364399556,0.413206717406305,2018-01-23 05:00:00,2018-02-16 05:00:00,2019-11-28 05:00:00,181,"163","362",2353333.33333333,0,"0","0",0,"0",30
"72",20,50,"C",0,0,5.62634107427145,0.440957470759935,2018-01-23 05:00:00,2018-02-17 05:00:00,2018-11-27 05:00:00,63,"43","58",546666.666666667,0,"0","0",0,"0",31
"73",20,500,"A",56.0330346434021,1.57378234965359,0,0,2018-01-23 05:00:00,2018-02-03 05:00:00,2018-03-28 00:00:00,0,"0","0",0,52,"43","41",453333.333333333,"0",17
"74",20,500,"B",55.1598097148493,2.67750023535343,0,0,2018-01-23 05:00:00,2018-02-06 05:00:00,2018-04-11 00:00:00,0,"0","0",0,59,"47","58",546666.666666667,"0",20
"75",20,500,"C",59.2466477811532,1.98035127566514,0,0,2018-01-23 05:00:00,2018-02-09 05:00:00,2018-11-26 05:00:00,0,"0","0",0,81,"80","82",810000,"0",23
"76",20,500,"D",55.539754044226,3.70660239303447,5.20150980682286,0.321051405420008,2018-01-23 05:00:00,2018-02-09 05:00:00,2018-12-17 05:00:00,45,"36","54",450000,63,"85","120",893333.333333333,"0",23
"77",20,500,"E",57.6765664394072,3.29733695879843,0,0,2018-01-23 05:00:00,2018-02-12 05:00:00,2018-11-15 05:00:00,0,"0","0",0,138,"141","129",1360000,"0",26
"78",20,500,"F",0,0,5.41320064116373,0.166830565791315,2018-01-23 05:00:00,2018-02-23 05:00:00,2018-12-03 05:00:00,51,"43","56",5e+05,0,"0","0",0,"0",36.4375
"79",20,500,"G",0,0,5.34004333385427,0.350465389943422,2018-01-23 05:00:00,2018-02-19 05:00:00,2018-12-04 05:00:00,54,"57","54",550000,0,"0","0",0,"0",33
"80",200,0,"A",0,0,5.2998076631141,0.230497066429977,2018-01-23 05:00:00,2018-02-15 05:00:00,2018-12-13 05:00:00,80,"96","76",840000,0,"0","0",0,"0",29
"81",200,0,"B",0,0,5.29681840737274,0.308381594252162,2018-01-23 05:00:00,2018-02-17 05:00:00,2018-11-28 05:00:00,13,"5","33",170000,0,"0","0",0,"0",31
"82",200,1000,"A",53.3879273009185,6.7110821672284,0,0,2018-01-23 05:00:00,2018-02-03 05:00:00,2018-03-28 00:00:00,0,"0","0",0,48,"47","48",476666.666666667,"0",17
"83",200,1000,"B",54.8798349911185,3.33072587774193,0,0,2018-01-23 05:00:00,2018-02-03 05:00:00,2018-03-28 00:00:00,0,"0","0",0,45,"58","44",490000,"0",17
"84",200,1000,"C",57.8164994216358,1.64466491192278,0,0,2018-01-23 05:00:00,2018-02-05 05:00:00,2018-03-29 00:00:00,0,"0","0",0,72,"51","69",640000,"0",19
"85",200,1000,"D",56.5311517846444,3.35262814039725,0,0,2018-01-23 05:00:00,2018-02-07 05:00:00,2018-04-26 00:00:00,0,"0","0",0,48,"50","NA",490000,"0",21
"86",200,1000,"E",60.2941148012026,1.6423292842861,5.64249322826863,0.359395131177486,2018-01-23 05:00:00,2018-02-10 05:00:00,2018-11-16 05:00:00,11,"19","15",150000,82,"78","9",563333.333333333,"0",24
