Pasteuria dose (spores/mL),Metschnikowia dose (spores/mL),Replicate,Exposure date,Mortality date,Spore count date,Pasteuria spore count 1,Pasteuria spore count 2,Pasteuria spore count 3,Avg Pasteuria spore load at death (spores/mL),Metschnikowia spore count 1,Metschnikowia spore count 2,Metschnikowia spore count 3,Avg Metsch spore load at death (spores/mL),Condition of cadaver (1-3) ,Comments,Column1
20,2000,F,1/23/2018,2/10/2018,12/17/2019,0,0,0,0,102,92,100,980000,,,
20,2000,G,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
20,2000,H,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
20,2000,I,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
20,2000,J,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
200,0,A,1/23/2018,2/15/2018,12/13/2018,80,96,76,840000,0,0,0,0,,,
200,0,B,1/23/2018,2/17/2018,11/28/2018,13,5,33,170000,0,0,0,0,,,
200,0,C,1/23/2018,3/5/2018,12/21/2018,13,10,13,120000,0,0,0,0,,,
200,0,D,1/23/2018,3/21/2018,1/1/2019,401,119,213,2443333,0,0,0,0,,,
200,0,E,1/23/2018,3/21/2018,1/1/2019,21,17,NA,190000,0,0,NA,0,,,
200,0,F,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
200,0,G,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
200,0,H,1/23/2018,3/4/2018,missing,missing,missing,missing,missing,missing,missing,missing,missing,,,
200,0,I,1/23/2018,3/21/2018,missing,missing,missing,missing,missing,missing,missing,missing,missing,,,
200,0,J,1/23/2018,3/21/2018,missing,missing,missing,missing,missing,missing,missing,missing,missing,,,
200,5,A,1/23/2018,2/23/2018,12/18/2018,0,0,0,0,3,3,0,20000,,,
200,5,B,1/23/2018,3/6/2018,12/21/2018,12,11,8,103333,0,0,0,0,,,
200,5,C,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
200,5,D,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
200,5,E,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
200,5,F,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
200,5,G,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
200,5,H,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
200,5,I,1/23/2018,3/6/2018,missing,missing,missing,missing,missing,missing,missing,missing,missing,,,
200,5,J,1/23/2018,3/21/2018,missing,missing,missing,missing,missing,missing,missing,missing,missing,,,
200,50,A,1/23/2018,2/6/2018,4/11/2018,0,0,0,0,74,69,73,720000,,,
200,50,B,1/23/2018,2/7/2018,4/12/2018,0,0,0,0,112,131,142,1283333,,,
200,50,C,1/23/2018,2/8/2018,4/26/2018,0,0,0,0,73,102,82,856667,,,
200,50,D,1/23/2018,2/15/2018,1/3/2019,0,0,0,0,0,0,0,0,,,
200,50,E,1/23/2018,2/27/2018,12/13/2018,0,3,2,16667,0,0,0,0,,,
200,50,F,1/23/2018,2/10/2018,1/17/2019,0,0,0,0,92,78,87,856667,,,
200,50,G,1/23/2018,2/25/2018,12/18/2018,17,17,23,190000,0,0,0,0,,,
200,50,H,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
200,50,I,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
200,50,J,1/23/2018,missing,,,,,,,,,,,,
200,250,A,1/23/2018,2/2/2018,3/22/2018,0,0,0,0,50,54,50,513333,,,
200,250,B,1/23/2018,2/6/2018,4/11/2018,0,0,0,0,192,196,NA,1940000,,only 2 counts because some of the slurry was lost due to pipetting error,
200,250,C,1/23/2018,2/7/2018,4/12/2018,0,0,0,0,120,136,137,1310000,, ,
200,250,D,1/23/2018,2/8/2018,4/26/2018,0,0,0,0,87,80,79,820000,,,
200,250,E,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
200,250,F,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
200,250,G,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
